transaction_id,event_id,timestamp,booth_id,item,item_category,price,quantity,payment_type
TX000206,EVT0001,3/1/25 18:00,BTH004,Pretzel,Snack,7,2,Card
TX000015,EVT0001,3/1/25 18:01,BTH003,Hard Seltzer,Alcohol,8,2,Cash
TX000067,EVT0001,3/1/25 18:02,BTH015,Beer - Lager,Alcohol,10,2,Card
TX000084,EVT0001,3/1/25 18:13,BTH002,Sliders,Food,14,2,Cash
TX000136,EVT0001,3/1/25 18:18,BTH012,Pretzel,Snack,7,2,Cash
TX000132,EVT0001,3/1/25 18:25,BTH014,Whiskey Shot,Alcohol,13,2,Cash
TX000008,EVT0001,3/1/25 18:26,BTH004,Beer - Lager,Alcohol,10,2,Cash
TX000139,EVT0001,3/1/25 18:31,BTH001,Popcorn,Snack,6,3,Cash
TX000184,EVT0001,3/1/25 18:31,BTH007,Nachos,Snack,9,2,Cash
TX000202,EVT0001,3/1/25 18:32,BTH006,Energy Drink,Drink,5,2,Cash
TX000147,EVT0001,3/1/25 18:33,BTH003,Soft Drink,Drink,4,2,Card
TX000264,EVT0001,3/1/25 18:36,BTH005,Sliders,Food,14,3,Cash
TX000012,EVT0001,3/1/25 18:50,BTH012,Hard Seltzer,Alcohol,8,2,Cash
TX000113,EVT0001,3/1/25 18:51,BTH009,Sliders,Food,14,2,Card
TX000120,EVT0001,3/1/25 18:55,BTH014,Hard Seltzer,Alcohol,8,2,Card
TX000246,EVT0001,3/1/25 18:55,BTH012,Nachos,Snack,9,2,Card
TX000214,EVT0001,3/1/25 18:57,BTH005,Whiskey Shot,Alcohol,9,2,Card
TX000006,EVT0001,3/1/25 18:59,BTH014,Hard Seltzer,Alcohol,8,2,Card
TX000211,EVT0001,3/1/25 21:00,BTH004,Sliders,Food,14,3,Cash
TX000236,EVT0001,3/1/25 21:00,BTH001,Pretzel,Snack,7,1,Cash
TX000044,EVT0001,3/1/25 21:01,BTH004,Beer - Lager,Alcohol,10,2,Card
TX000057,EVT0001,3/1/25 21:01,BTH007,Pretzel,Snack,7,1,Cash
TX000265,EVT0001,3/1/25 21:01,BTH008,Energy Drink,Drink,5,1,Cash
TX000004,EVT0001,3/1/25 21:02,BTH015,Popcorn,Snack,6,1,Card
TX000130,EVT0001,3/1/25 21:04,BTH005,Pretzel,Snack,7,1,Card
TX000027,EVT0001,3/1/25 21:06,BTH015,Soft Drink,Drink,4,1,Card
TX000107,EVT0001,3/1/25 21:06,BTH013,Pretzel,Snack,7,1,Card
TX000278,EVT0001,3/1/25 21:08,BTH011,Hard Seltzer,Alcohol,8,2,Card
TX000168,EVT0001,3/1/25 21:09,BTH003,Hard Seltzer,Alcohol,8,2,Cash
TX000126,EVT0001,3/1/25 21:15,BTH004,Energy Drink,Drink,5,1,Card
TX000156,EVT0001,3/1/25 21:16,BTH003,Kombucha,Drink,6,1,Card
TX000020,EVT0001,3/1/25 21:19,BTH005,Soft Drink,Drink,4,2,Card
TX000082,EVT0001,3/1/25 21:19,BTH002,Nachos,Snack,9,1,Card
TX000172,EVT0001,3/1/25 21:18,BTH010,Energy Drink,Drink,5,2,Cash
TX000177,EVT0001,3/1/25 21:18,BTH004,Whiskey Shot,Alcohol,13,2,Cash
TX000234,EVT0001,3/1/25 21:18,BTH013,Hard Seltzer,Alcohol,8,2,Cash
TX000112,EVT0001,3/1/25 21:21,BTH001,Soft Drink,Drink,4,1,Cash
TX000129,EVT0001,3/1/25 21:21,BTH004,Whiskey Shot,Alcohol,13,1,Cash
TX000260,EVT0001,3/1/25 21:21,BTH001,Popcorn,Snack,6,1,Card
TX000033,EVT0001,3/1/25 21:22,BTH004,Popcorn,Snack,6,2,Card
TX000122,EVT0001,3/1/25 21:22,BTH003,Beer - IPA,Alcohol,12,1,Cash
TX000003,EVT0001,3/1/25 21:23,BTH008,Whiskey Shot,Alcohol,9,1,Cash
TX000052,EVT0001,3/1/25 21:23,BTH009,Hard Seltzer,Alcohol,8,3,Card
TX000125,EVT0001,3/1/25 21:24,BTH014,Nachos,Snack,9,2,Card
TX000103,EVT0001,3/1/25 21:25,BTH011,Whiskey Shot,Alcohol,13,2,Cash
TX000270,EVT0001,3/1/25 21:25,BTH003,Whiskey Shot,Alcohol,9,1,Cash
TX000009,EVT0001,3/1/25 21:29,BTH011,Hard Seltzer,Alcohol,8,3,Cash
TX000070,EVT0001,3/1/25 21:29,BTH003,Beer - IPA,Alcohol,12,2,Cash
TX000207,EVT0001,3/1/25 21:29,BTH001,Whiskey Shot,Alcohol,13,2,Card
TX000026,EVT0001,3/1/25 21:28,BTH013,Soft Drink,Drink,4,2,Card
TX000240,EVT0001,3/1/25 21:29,BTH001,Soft Drink,Drink,4,1,Card
TX000262,EVT0001,3/1/25 21:29,BTH014,Whiskey Shot,Alcohol,13,1,Cash
TX000071,EVT0001,3/1/25 21:30,BTH007,Beer - IPA,Alcohol,12,2,Cash
TX000230,EVT0001,3/1/25 21:30,BTH013,Sliders,Food,14,1,Cash
TX000153,EVT0001,3/1/25 21:31,BTH013,Nachos,Snack,9,1,Cash
TX000124,EVT0001,3/1/25 21:33,BTH003,Popcorn,Snack,6,1,Card
TX000145,EVT0001,3/1/25 21:34,BTH005,Soft Drink,Drink,4,1,Cash
TX000283,EVT0001,3/1/25 21:34,BTH010,Kombucha,Drink,6,3,Cash
TX000193,EVT0001,3/1/25 21:35,BTH008,Nachos,Snack,9,1,Card
TX000058,EVT0001,3/1/25 21:36,BTH014,Energy Drink,Drink,5,1,Card
TX000250,EVT0001,3/1/25 21:36,BTH012,Pretzel,Snack,7,1,Cash
TX000273,EVT0001,3/1/25 21:36,BTH010,Sliders,Food,14,1,Card
TX000062,EVT0001,3/1/25 21:39,BTH009,Hard Seltzer,Alcohol,8,1,Cash
TX000088,EVT0001,3/1/25 21:39,BTH011,Whiskey Shot,Alcohol,9,3,Cash
TX000055,EVT0001,3/1/25 21:38,BTH004,Nachos,Snack,9,1,Card
TX000018,EVT0001,3/1/25 21:39,BTH007,Whiskey Shot,Alcohol,13,2,Card
TX000180,EVT0001,3/1/25 21:40,BTH015,Pretzel,Snack,7,2,Card
TX000285,EVT0001,3/1/25 21:40,BTH012,Popcorn,Snack,6,2,Cash
TX000224,EVT0001,3/1/25 21:41,BTH011,Soft Drink,Drink,4,2,Cash
TX000144,EVT0001,3/1/25 21:45,BTH015,Kombucha,Drink,6,1,Cash
TX000198,EVT0001,3/1/25 21:45,BTH011,Beer - Lager,Alcohol,10,1,Cash
TX000010,EVT0001,3/1/25 21:46,BTH015,Nachos,Snack,9,2,Cash
TX000239,EVT0001,3/1/25 21:46,BTH005,Pretzel,Snack,7,2,Cash
TX000074,EVT0001,3/1/25 21:49,BTH004,Whiskey Shot,Alcohol,9,3,Cash
TX000101,EVT0001,3/1/25 21:49,BTH005,Popcorn,Snack,6,2,Card
TX000275,EVT0001,3/1/25 21:49,BTH005,Energy Drink,Drink,5,1,Cash
TX000141,EVT0001,3/1/25 21:50,BTH007,Pretzel,Snack,7,2,Card
TX000117,EVT0001,3/1/25 21:51,BTH002,Whiskey Shot,Alcohol,13,1,Cash
TX000045,EVT0001,3/1/25 21:52,BTH006,Beer - Lager,Alcohol,10,2,Card
TX000267,EVT0001,3/1/25 21:55,BTH002,Energy Drink,Drink,5,2,Card
TX000072,EVT0001,3/1/25 21:59,BTH005,Energy Drink,Drink,5,1,Cash
TX000123,EVT0001,3/1/25 20:00,BTH013,Nachos,Snack,9,1,Card
TX000142,EVT0001,3/1/25 20:00,BTH015,Whiskey Shot,Alcohol,13,3,Cash
TX000212,EVT0001,3/1/25 20:00,BTH005,Kombucha,Drink,6,2,Cash
TX000272,EVT0001,3/1/25 20:00,BTH013,Soft Drink,Drink,4,2,Cash
TX000059,EVT0001,3/1/25 20:01,BTH011,Whiskey Shot,Alcohol,13,1,Card
TX000200,EVT0001,3/1/25 20:01,BTH001,Whiskey Shot,Alcohol,9,1,Cash
TX000219,EVT0001,3/1/25 20:01,BTH012,Beer - Lager,Alcohol,10,2,Cash
TX000245,EVT0001,3/1/25 20:01,BTH005,Beer - Lager,Alcohol,10,2,Card
TX000277,EVT0001,3/1/25 20:01,BTH012,Sliders,Food,14,1,Card
TX000232,EVT0001,3/1/25 20:02,BTH014,Pretzel,Snack,7,2,Card
TX000231,EVT0001,3/1/25 20:03,BTH007,Energy Drink,Drink,5,1,Cash
TX000127,EVT0001,3/1/25 20:04,BTH006,Energy Drink,Drink,5,2,Cash
TX000166,EVT0001,3/1/25 20:04,BTH011,Whiskey Shot,Alcohol,9,2,Card
TX000060,EVT0001,3/1/25 20:05,BTH007,Beer - IPA,Alcohol,12,1,Cash
